"state";"st_astext"
"SK";"LINESTRING(18.4098652 49.399045,18.4099482 49.3989557,18.4100309 49.3988169,18.4100714 49.3986144,18.4100744 49.3984155,18.4101004 49.397412,18.410047 49.3969249,18.4099745 49.3967512,18.4098393 49.3965951,18.4091536 49.3960987,18.4090527 49.3959413,18.4090567 49.3958231,18.4091181 49.3956148,18.4093086 49.3954824,18.4106374 49.3949347,18.4110004 49.3947196,18.41137 49.3944046,18.4115005 49.3942329,18.4117568 49.3937048,18.4120954 49.3925649,18.4122251 49.3922273,18.4124154 49.3918406,18.4129108 49.3911683,18.4134999 49.3906251,18.4138206 49.3903794,18.4144756 49.3899767,18.4154019 49.3895214,18.4156841 49.3893259,18.4158566 49.3891183,18.4159293 49.3889208,18.4159388 49.3887492,18.4159144 49.3885919,18.4158167 49.3883743,18.4156083 49.3881344,18.4153212 49.3879832,18.415124 49.3878942,18.4144037 49.3877451,18.4134869 49.3875781,18.4131457 49.3874708,18.4129126 49.3873221,18.4127325 49.3871514,18.412637 49.3869728,18.4125965 49.3867336,18.4126728 49.3857061,18.4126549 49.3854068,18.412567 49.3850677,18.4124888 49.3848295,18.4123108 49.3845529,18.4119278 49.383993,18.4118335 49.3837712)"
"SK";"LINESTRING(18.4123265 49.3830209,18.4128611 49.3829034,18.4132915 49.3828904,18.4136725 49.3830129,18.4150146 49.383673,18.415891 49.3839674,18.4167443 49.3841855,18.419575 49.3846628,18.4199569 49.3847042,18.4202831 49.3846516,18.4204667 49.3845358,18.4205707 49.3843664,18.4208891 49.3834853,18.4210918 49.3830608,18.421148 49.3828825,18.4211356 49.3827196,18.4209738 49.3824771,18.4207568 49.3822531,18.4200594 49.3818657,18.4198373 49.3816414,18.4197266 49.3814316,18.4197192 49.3812577,18.4198143 49.3809538,18.4199613 49.380776,18.4202245 49.3806305,18.4205545 49.3805192,18.4233681 49.3804915,18.4237809 49.3805313,18.4241962 49.3806821,18.4244464 49.3808475,18.4250479 49.3812166,18.4253532 49.381297,18.4255837 49.381287,18.4258788 49.3811702,18.4260329 49.3809957,18.426067 49.380812,18.4259671 49.380575,18.4254342 49.3800114,18.4253872 49.3798366,18.4254162 49.3797087,18.4255845 49.3796221,18.425821 49.379611,18.4260935 49.3796884,18.4265676 49.3799292,18.4275893 49.380457,18.4277315 49.3806,18.4279806 49.3809309,18.4281653 49.3810926,18.428388 49.3811977,18.4287319 49.3812165,18.4292106 49.3811311,18.4310702 49.3806425,18.4315 49.3805,18.4318458 49.3803561)"
"SK";"LINESTRING(18.4112868 49.383189,18.4117446 49.3830679,18.4123265 49.3830209)"
"SK";"LINESTRING(18.4048556 49.3504469,18.4054559 49.3509866,18.405533 49.3512016,18.4054714 49.3518525,18.4055526 49.3521534,18.4058913 49.3524561,18.4064931 49.3528828,18.4066331 49.3530141,18.4069298 49.3534955,18.407179 49.3536742,18.4074309 49.3537125,18.4076828 49.3536614,18.4087382 49.3532439,18.4093146 49.3530985,18.4101638 49.3530391)"
"SK";"LINESTRING(18.4045457 49.3502711,18.4048556 49.3504469)"
"SK";"LINESTRING(18.4842407 49.4091953,18.4838949 49.4092833,18.4830179 49.4095551,18.4823747 49.4098051,18.4819821 49.4099627,18.48179 49.4099681,18.4810299 49.4099409,18.4806457 49.410017,18.4803199 49.4100442,18.4796157 49.4100531,18.4795431 49.4100768,18.4788832 49.4103268,18.4786911 49.4104246,18.478499 49.4105768,18.4782734 49.4107616)"
"SK";"LINESTRING(18.7350783 49.4841677,18.7350001 49.4845399,18.7350029 49.4850518,18.7349379 49.4852885,18.7346301 49.485718,18.7344686 49.4860442,18.7344385 49.486324,18.7345798 49.4872441,18.7345315 49.4875567,18.7344121 49.487709,18.7342224 49.487862,18.7339013 49.4879816,18.7333142 49.488125,18.733085 49.4881614)"
"SK";"LINESTRING(18.5346336 49.487023,18.5352391 49.4871305)"
"SK";"LINESTRING(18.5716354 49.451339,18.5715566 49.4514647,18.5712826 49.4519017,18.5708532 49.4524396,18.5702691 49.453011,18.5695321 49.4534533,18.5687918 49.4537365,18.5685919 49.4537945,18.5676451 49.4540694,18.5666045 49.4543517,18.5660407 49.4545046,18.5653733 49.454612,18.5635263 49.4549091,18.5627313 49.4551806,18.5608267 49.4558309,18.5594525 49.4562443,18.5582889 49.4563195,18.5554873 49.456231,18.5542167 49.4563589,18.5536234 49.4564833,18.5528794 49.4566437,18.5525656 49.4566683)"
"SK";"LINESTRING(18.5525656 49.4566683,18.5511975 49.4567753,18.5493619 49.4566941,18.5483729 49.4566172,18.5470229 49.456686,18.5461623 49.4567653,18.5457193 49.4568061,18.5446045 49.4566808,18.5435225 49.4564526,18.5424455 49.456364,18.5413919 49.4564461,18.5387691 49.4566505,18.5368103 49.4565427,18.5357405 49.4563949,18.5345913 49.456195,18.5343152 49.4561686,18.5334412 49.4561521,18.5314881 49.4562318,18.5309022 49.4562261,18.530293 49.4561825,18.5297246 49.4561086,18.5277833 49.4556861,18.5254792 49.4551454)"
"SK";"LINESTRING(18.7228232 49.4945975,18.7227733 49.4947009,18.7227784 49.4951467,18.7227261 49.4953413,18.7226243 49.495561,18.7225769 49.4957392)"
"SK";"LINESTRING(18.7180186 49.4979113,18.7178639 49.4978532)"
"SK";"LINESTRING(18.7225769 49.4957392,18.7225716 49.4958644)"
"SK";"LINESTRING(18.7225716 49.4958644,18.7220643 49.4961801,18.7210992 49.4966069,18.72029 49.4969239,18.7197035 49.4972024,18.7194301 49.4973393,18.7190842 49.4975278,18.7184901 49.4977587,18.7180186 49.4979113)"
"SK";"LINESTRING(18.729774 49.4905026,18.7292541 49.490835,18.7273518 49.4919616,18.7270385 49.4921724,18.7267449 49.4923222,18.726221 49.4924474,18.725761 49.4926356,18.7251417 49.49302,18.7246128 49.493255,18.7242298 49.4935897,18.7239836 49.4937787,18.7234851 49.4940939,18.7231994 49.4943049)"
"SK";"LINESTRING(18.7231994 49.4943049,18.7228232 49.4945975)"
"SK";"LINESTRING(18.733085 49.4881614,18.7328606 49.4882007)"
"SK";"LINESTRING(18.7299591 49.4903843,18.729774 49.4905026)"
"SK";"LINESTRING(18.7328606 49.4882007,18.7327035 49.4882293,18.7324867 49.4882968,18.7321852 49.4884422,18.7319967 49.4885937,18.7309438 49.489592,18.7304179 49.4900645,18.7299591 49.4903843)"
"SK";"LINESTRING(18.5244546 49.4548733,18.5250699 49.4550554)"
